"著者","題目","出典","要約","年月","DOI/Handle"
"山里敬也, センハジ ユーゼフ,岡田啓,片山正昭, 小川明","送信アダプティブアレーによるCDMAキャパシティに関する一考察","電子情報通信学会技術研究報告, vol.SST-2000-20, pp.7-12, 札幌","本研究では、CDMAシステムにおけるアダプティブアレーアンテナに関して受信基地局のみで無く、送信局にもアダプティブアレーアンテナを適用する場合について検討している. 結果として, 送信局にアダプティブアレーアンテナを用いることは有効であるが、その場合, 複数ビームを形成し、複数方向に電力を分散送信しなければ効果はでないこと, 
また, 許容ユーザ数を増大することができることがわかった. ","2000年7月",""
"市川 直樹, 片山 正昭, 岡田 啓, 山里 敬也, 小川  明","マルチビーム低軌道衛星通信システムにおける多元接続方式の性能比較","電子情報通信学会技術研究報告, vol.SAT2000-18, pp.7-12, 名古屋","マルチビームにより複数のセルを構成する低軌道衛星通信システムでは,  
ユーザ信号間の干渉量は, 干渉ユーザから衛星までの伝搬損失だけでなく,  
衛星の照射するビームの利得に依存する. 
このため,  干渉量が伝搬損失によって決定される地上のシステムと 
衛星通信システムとでは,  多元接続方式の優劣が異なる可能性がある. 
そこで本稿では,  地上のシステムと衛星通信システムにおいて, FDMAとCDMAの優劣をキャパシティ
の観点から比較した.
その結果, 地上のシステムではCDMAがFDMAより優れているが,   
衛星通信システムにおいては, このことは成り立たないことが分かった. 
","2000年6月",""
"齋藤 将人, 岡田 啓, 山里 敬也, 片山 正昭, 小川 明","同期CDMA方式における拡散符号の相互相関特性とDeccorelating Detectorによる雑音強調効果に関する一検討","電子情報通信学会技術研究報告, vol. SST2000-16, pp. 57-62, 名古屋","本研究では, 同期CDMA信号をDecorrelating Detector (DD) 受信機で受ける場合において, 拡散符号系列間の相互相関値と, DD受信時に特有の問題である雑音強調効果の関係について検討を行った.  全ての拡散符号系列間で相互相関値が等しいという制限を設けて、雑音強調の大きさ, ビット誤り率の解析を行った.  その結果, 相互相関値の絶対値が等しい二つの符号系列に対する特性を比べると, 相互相関値が正のときには雑音強調がほとんど生じず, 更にその値が小さければ直交符号を用いた場合に近い特性が得られるが、相互相関値が負のときには同時送信局数により雑音強調の影響が強まることが分かった.","2000年6月",""
"原司, 片山正昭, 岡田啓, 山里敬也, 小川明","階層チャネル割当て方式を用いた低軌道衛星通信システムのハンドオーバ特性","電子情報通信学会技術研究報告, vol.SAT2000-19, pp.13-18, 名古屋 ","セルラ方式の低軌道衛星(LEOS)通信システムにおいて技術的に重要
な問題としてセル間ハンド
オーバがある. 本稿では, LEOS通信システムにおいてチャネルを３つのグループ
にわける階層チャネル割当て方式を考え, 特性評価を行った. 特性評価の方法として, ハ
ンドオーバ失敗のために強制終了(ドロッピング)する確率や新規接続失敗(呼損)確率を用いた. 
その結果,  新たにハンドオーバ専用のチャネルを設ける階層チャネル割当て方式により, 特性が改善できるこ
と, また
各チャネルグループのチャネル数には最適な配分比が存在することが分かった. ","2000年6月",""
"藤原昭博, 和田忠浩, 山里敬也, 片山正昭, 小川明","直交マルチコードＣＤＭＡシステムの相互相関特性に関する一考察","電子情報通信学会論文誌, vol.J83-A, no.5, pp.589-593","直交マルチコードCDMAシステムの送信信号は直交符号の多重によって構成される信号であるため，その干渉の振舞いが通常のシングルコードCDMAシステムと大きく異なる．本研究では，直交マルチコードCDMAシステムの多元接続干渉の影響を正確に評価する手法を述べ，そして，その相互相関特性について検討を行う．更にビット誤り率によって，従来のシングルコードCDMAシステムとの間の特性比較を行う．","2000年5月",""
"鈴木隆之, 片山正昭, 山里敬也, 小川明","干渉除去回路を伴うアダプティブアレーアンテナの制御方式に関する一検討","電子情報通信学会技術研究報告, vol.RCS2000-15, pp.21-26","CDMA移動体通信基地局において, アダプティブアレーアンテナと干渉除去回路の適用を考える.  
まずアダプティブアレーアンテナ出力に干渉除去回路を適用する場合において，ＡＡＡが干渉除去回路とと独立に動作する場合には, 干渉除去は限られた条件でしか効果が無いことを示す. 
次に干渉除去回路の出力に基づくアダプティブアレーアンテナの重み制御方式を行う方式を考える. 
そして，この場合は, 信号の到来角によらず常に干渉除去の効果があることを示す. 
また所望波・干渉波の到来方向によっては干渉除去が完全でない方が完全に干渉除去をしたときよりSINRが良くなる現象があることを明かにする.","2000年5月",""
"K.Ono, M. Katayama, T. Yamazato, A. Ogawa","Effects of Cell Structure on Quality of Service of LEOS Communication Systems","IEICE Transaction on Communications, vol.E83-B, no.4, pp.782-790","In this paper, we analytically study the effects of overlap and overlay structure on the quality of service (QoS) of Low Earth-Orbital Satellite
(LEOS) communication systems. We consider two-layered overlay of cells and intentional overlap of neighboring small cells. In order to measure the QoS,
the probabilities of rejection of a newly arrived call (blocking) and forced termination due to failure of a handover (call dropping) are derived. In addition to
these measures, the largest traffic intensity which guarantees the required blocking and dropping probabilities is also used.","2000年4月",""
"M. Katayama, S. Itou, T.Yamazato, A. Ogawa","Modeling of Cyclostationary and Frequency Dependent Power-Line Channels for Communications","4th International Symposium on Power-Line Communications and its Applications, pp.123-127, , Limerick, Ireland","This manuscript introduces a mathematically tractable and accurate model of power-line noise, in which the nose is expressed as the sum of cyclostationary Gaussian processes. This model can represent non-stationary power-line noise with a small number of parameters and generate the waveforms which achieve good agreement with actually measured noise waveforms. In this manuscript, parameter determination method is explained and then necessary observation length, influence of the frequency of a reference signal, and fidelity of determined parameters are discussed.","2000年4月",","
"田所幸浩, 岡田啓, 齋藤将人, 山里敬也, 片山正昭, 小川明","パケット検出誤りを考慮した逐次型干渉除去を適用したCDMA Unslotted ALOHA方式 の特性評価","電子情報通信学会総合大会, vol.A-5-13, p.167","CDMA Unslotted ALOHA方式における多元接続干渉を抑制するために, 著者らはCDMA Unslotted ALOHA
方式に逐次型干渉除去(SIC)を適用したシステムを提案した. CDMA Unslotted ALOHA方式では, 取り扱う
パケットの長さが時間的に短くかつランダムに発生するため, パケットの存在検出を確実に行なうこ
とは難しい. しかし, 
現在その影響を考慮した特性評価は行なわれていない. そこで本研究では, SICを適用したCDMA 
Unslotted ALOHA方式におけるパケット存在検出誤りの影響を明らかにする. ここでパケット存在検出
誤りとして不検出と誤検出の２種類のものを考える.","2000年3月",""
"森香津夫, 小林岳彦, 山里敬也, 小川明","Shared-TDD方式を適用したCDMAセルラパケットシステムの上下リンク間の干渉の評価","電子情報通信学会 2000年総合大会, SB-3-2, pp.739","","2000年3月",""
"内藤克浩, 岡田啓, 齋藤将人, 山里敬也, 片山正昭, 小川明","無線環境下におけるTCPの解析モデルに関する一検討","電子情報通信学会総合大会, vol.B-5-185, p.570","","2000年3月",""
"内藤 克浩, 岡田啓, 齋藤 将人, 山里 敬也, 片山 正昭, 小川 明","無線環境下におけるTCPのスループット解析に関する一検討","電子情報通信学会技研報告, vol.RCS99-232, pp.107-113, YRP","現在インターネットのトランスポート層プロトコルとしては, TCP(Transmission Control Protocol)が一般に利用されている. 
  また, 無線通信の発展に伴い, 無線通信環境からのインターネット
  アクセスが今後増加すると予想される. しかし, TCPは有線通信環境で
  発展した技術のため, 無線通信環境を十分考慮した設計がなされてきたわけではない.  そのため, 無線通信環境下では様々な問題が発生することが
  シミュレーションなどから指摘されている. 
  本研究では, TCPの輻輳ウィンドウをマルコフ連鎖としてモデル化を行う. 
  そして, TCPセグメントがランダムに損失する無線通信環境において, 
  TCPのスループットに対する影響を解析的に議論する. 
  また, 無線層において, FECとしてReed Solomon符号を適用した場合, 
  ARQとしてGo-Back-N方式を適用した場合の特性についても解析を行う. ","2000年2月",""
"原田政明, 山里敬也, 片山正昭, 小川明","マルチキャリア通信方式における多次元符号化変調の特性","情報理論とその応用シンポジウム, pp.563-566","","1999年12月",""
"K. Mori, T. Kobayashi, T. Yamazato, A. Ogawa","Service Fairness in CDMA Cellular Packet Systems with Site Diversity Reception","IEICE Transaction on Communications, vol.E82-B, no.12, pp.1964-1973","","1999年12月",""
"K. Mori, T. Kobayashi, T. Yamazato and A. Ogawa","Service Fairness in CDMA Cellular Slotted-ALOHA Packet Systems","IEEE Global Communications Conference, pp.655-660, Rio de Janeiro, Brazil","","1999年12月",""
"松井宗大, 山里敬也, 片山正昭, 小川明","出力分布に応じて尤度に上限を与えるSOVAに基づくターボ復号法の一検討","情報理論とその応用シンポジウム, vol.1, pp.13-16","","1999年12月",""
"A. Morimoto, M. Katayama,T. Yamazato, A. Ogawa","Adaptive Array Antennas for the Base Station of a Multi Processing Gain CDMA System","IEICE Transaction on Communications, vol.E82-A, no.12, pp.2687-2696","This paper discusses the employment of adaptive array antennas at the base station of a Multi Processing Gain (MPG) CDMA
system. It is shown that the adaptive array antenna with the weight control scheme based on the signal before despreading procedure does not
increase but even decreases the performance than that with an omni-directional antenna, and the cause of this serious performance degradation is
revealed. Then it is shown that the performance with the weight control scheme based on the signal after despreading procedure is always better
than that with an omni-directional antenna. Furthermore, the possibilities of performance improvement by the combination of adaptive array antenna
and interference cancellation techniques are mentioned.
","1999年12月",""
"Y. Ikai, M. Katayama,T. Yamazato, A. Ogawa","Code Acquisition of a DS/SS Signal with Transmit and Receive Antenna Diversity","IEICE Transaction on Communications, vol.E82-A, no.12, pp.2728-2734","In this paper, we propose the introduction of space diversity techniques to the code acquisition of a direct-sequence spread-spectrum
signal. In this scheme, both a transmitter and a receiver have multiple antennas and the signals corresponding to all the combinations of the
transmitter and receiver antennas are combined at the acquisition circuit of the receiver. The performance is evaluated for an indoor packet radio
communication system from the viewpoints of the average time for acquisition, the probability of success of acquisition, and the necessary preamble
length. As the result, we show great performance improvements by the proposed scheme under slow and flat Rayleigh fading environment.
","1999年12月",""
"H. Hiraiwa, M. Katayama,T. Yamazato, A. Ogawa","Decorrelating Detector for Multi-Processing Gain CDMA Systems","IEICE Transaction on Fundamentals, vol.E82-A, no.12, pp.2774-2777.","The design of a liner decorrelating detector for multi-processing gain code-division multiple-access (MPG-CDMA) systems is proposed, and its performance is discussed. As the result, the performance improvement by this detector is confirmed. Also, it is found that that the degrees of the noise enhancement depend on the processing gains of the signals.
","1999年12月",""
"C. Zheng, T. Yamazato, M. Katayama, A. Ogawa","Chip-by-Chip Turbo Coding for DS/SS Systems","IEICE Transaction on Fundamentals, vol.E82-A, no.12, pp.2751-2757","Most of error correcting codes applying to DS/SS systems are such that information data is first (bit-by-bit) encoded and then spread by pseudo noise (PN) sequence. Thus, coding gain achieved by such systems are mainly due to the error correcting codes and the redundancy produced by the spreading codes shows no effect on the coding gain. In this paper, a chip-by-chip Turbo coding for DS/SS systems is proposed. The input information data is first spread by PN sequence and then fed into the Turbo-encoder which operates in chip timing. As the Turbo-encoder operates in chip timing, a large interleaving size would be obtained, which improves the performance. As results, superior performances with coding gain of more than 3.0 dB and 5.0 dB for AWGN and Rayleigh-fading channel, respectively, were found with short frame size of information data.
","1999年12月",""
"王偉忠, 山里 敬也, 片山 正昭, 小川 明","ターボ符号化OFDMでの復号時間短縮に関する一検討","情報理論とその応用シンポジウム, pp.165-168","","1999年12月",""
"山里敬也, 梶田将司, 濱口毅, 結縁祥治","名古屋大学情報メディア教育システムの現状と課題","情報処理学会研究報告, vol.DMS99-16, pp.55-60","","1999年11月",""
"山里敬也","CDMA方式の基礎","Proc. of 2001 Microwave Workshops and Exhibition, MWE2001., パシフィコ横浜","移動体通信の急速な需要増加のため、現行のシステムではほぼ通信容量の限界にまで達してきている。また、音声やデータ、画像などの伝送ができるマルチメディア移動体通信への要求も高まっている\cite{trikepsu}-\cite{adachi-JSAC98}。以上を背景に、現在、次世代移動体通信システムの研究開発が活発に行われているが、その殆どが符号分割多元接続(Code Division Multiple Access : CDMA)方式をベースにしたシステムである。

CDMA方式が脚光を浴び始めたのはアメリカのQualcom社が米国での新しい自動車・携帯電話システム（現在ではcdmaOneと呼ばれている）を提唱した1990年頃からである．当時、アメリカではアナログＦＭ方式を用いたAMPS(Advanced Mobile Phone System)を使ったセルラ方式が運用されていたが、セルラ無線用の周波数がニューヨーク、ロサンゼルス、シカゴなどの大都市で著しく不足しており、周波数利用効率の高いセルラシステムが渇望されていた．このため、AMPSの３倍の加入者数増の望めるFDMA/TDMA混在方式の検討がすすめられていた．ところが、Qualcom社はそのセールトークの中でAMPSに比べ収容加入者数が18倍にも達する、と述べたのである．

18倍という数字はいささか大袈裟な感もあるが、それ以降、CDMA方式の研究が盛んに行われる様になったのは事実である。日欧を中心に開発がすすんでいる広帯域CDMA(W-CDMA)は、
世界標準の無線伝送技術として2001年の実用化をめざし、急ピッチで開発が行われている\cite{adachi-JSAC98}。

本稿では、CDMA方式の基礎について解説する。特にCDMAの特性を向上させる基礎技術について解説し、FDMA, TDMAとの比較を通してCDMAの特徴を明らかにする。","1999年11月",""
"K. Mori, T. Kobayashi, T. Yamazato, and A. Ogawa,","Control of Transmit Permission Probability to Improve Service Fairness in CDMA Cellular Packet Communications","IEEE International Workshop on Mobile Multimedia Communications (MOMUC'99), pp.35-42, San Diego, California, USA","","1999年11月",""
"N. Ichikawa, M. Katayama T. Yamazato and A. Ogawa","Influence of Beam Pattern on the Capacity of LEOS Communication Systems","International Symposium on Communications, pp.534-538 Kaohsiung, , Kaohsiung, Taiwan","","1999年11月",""
"松原一雄，片山正昭，山里敬也，小川明","ソフトウェア無線基地局におけるADコンバータ性能と受信誤り率特","電子情報通信学会技研報告, vol.SR99-19, pp.67-72","","1999年11月",""
"柴田伝幸, 伊藤修朗, 藤元美俊, 伊藤秀昭, 鈴木徳祥, 山里 敬也, 小川 明","差分相関を用いた OFDM 同期方式の検討","電子情報通信学会技研報告, vol.RCS99-135, pp.97-101","","1999年10月",""
"A. Sandouk, T. Yamazato, M. Katayama, A. Ogawa","An Integrated Voice/Data CDMA Packet Communications with Multi-Code CDMA Scheme","IEICE Transaction on Communications, vol.E82-A, no.10, pp.2105-2114","","1999年10月",""
"原田政明, 山里敬也, 片山正昭, 小川 明","マルチキャリア通信方式における多次元符号化変調について","電子情報通信学会技研報告, vol.SST99-32, pp.13-18","","1999年9月",""
"山里敬也，鄭辰、片山正昭、小川明","チップレベルで符号化を行うターボ符号化 DS/SS 方式","1999年電子情報通信学会ソサエティ大会, vol.A-5-14, p.97","","1999年9月",""
"田所幸浩, 岡田啓, 齋藤将人, 山里敬也, 片山正昭, 小川 明","CDMA Unslotted ALOHA 方式への連続干渉除去の適用","電子情報通信学会技研報告, vol.SST99-34, pp.25-30","","1999年9月",""
"M. Saito, T. Yamazato, M. Katayama, and A. Ogawa","Throughput Performance of CDMA Slotted ALOHA Systems with Accurate Packet Success Probability","Second International Symposium on Wireless Personal Multimedia Communications (WPMC'99), vol. 1, no. 9.5, pp. 354-359, Amsterdam, The Netherlands","","1999年9月",","
"A. Sandouk, T. Yamazato, M. Katayama, and A. Ogawa","A Scheme for Throughput Improvement in Voice/Data CDMA Packet Communications","IEEE Vehicular Technology Conference, pp.362-366, Amsterdam, Netherlands ","","1999年9月",""
"K. Ban, M. Katayama, T. Yamazato, and A. Ogawa","Transmitter Precoding with Multiple Transmit/Receive Antennas for High Date Rate Communication in Bandwidth-limited Channels","IEEE Vehicular Technology Conference Fall, pp.1946-1950, Amsterdam, Netherlands","","1999年9月",""
"Y. Ikai, M. Katayama, T. Yamazato and A. Ogawa","Acquisition of a DS/SS Signal with Macro/Micro Antenna Diversity under Rayleigh Fading and Log-normal Shadowing","IEEE International Symposium on Personal, Indoor and Mobile Radio Communication (PIMRC), pp.1526-1530, Osaka, Japan","","1999年9月",","
"M. Honjo, S. Makido, T. Yamazato, M. Katayama and A. Ogawa","Error Resilient Video Coding System for Wireless Communication -Using Motion Compensated Field","Second International Symposium on Wireless Personal Multimedia Communications (WPMC), vol. 1, no. 4.2, pp. 214-218, Amsterdam, The Netherlands","In this paper, we propose a new  video coding system which maintains picture quality and keeps frame rate. In the event of error, the system requests only high priority frame data for retransmission. Low priority frame data  is positively discarded. This discarding frame data helps not to lower the frame rate, while it is important to maintain the picture quality to some extent. We realize such by the coding algorithm which processes on the premise of the discarded frame data. The simulation results shows that proposal system is more efficient in wireless communications.","1999年9月",","
"Youssef R. Senhaji, H. Okada, T. Yamazato, M. Katayama and A. Ogawa","Performance Improvements applying an Adaptive Array Antenna at both the Base and Mobile Stations in Cellular CDMA","IEEE International Symposium on Personal, Indoor and Mobile Radio Communication (PIMRC), vol.3, pp.982-986, Osaka, Japan","The concept of diversity in space using adaptive array antennas at the base stations of wireless communication systems have long been debated, and have demonstrated great ability in increasing system capacity, as well as suppressing interferences from undesired users. But, yet the increasing demand for mobile communication services with more improvements in performance is motivating the search for new techniques. This paper shows that implementing array antennas at both the base and mobile stations in a cellular CDMA system results in a substantial increase in capacity over the conventional system using the
 array antennas at the base station only.","1999年9月",","
"森香津夫, 小林岳彦, 山里敬也, 小川 明","CDMAセルラパケット通信における送信許可確率制御によるサービス公平性の改善","電子情報通信学会技研報告, vol.RCS99-91, pp.29-36","","1999年8月",""
"原田政明, 山里敬也, 片山正昭, 小川 明","マルチキャリア通信方式における符号化変調の適用に関する一検討","電子情報通信学会技研報告, vol.IT99-34, pp.7-12 (1999-07)","","1999年7月",""
"齋藤将人, 山里敬也, 片山正昭, 小川 明","CDMA Slotted ALOHA 方式のスループット特性に関する一検討","電子情報通信学会技研報告, vol.SST99-21, pp.37-42 (1999-07)","","1999年7月",""
"C. Zheng, T. Yamazato, M. Katayama, and A. Ogawa","A Study of Chip-by-Chip Turbo Coding for DS-CDMA Systems","Technical Report of IEICE, vol.SST99-8, 06.1999, pp.49-54, Nagoya, Japan","","1999年6月",""
"A. Sandouk, H. Okada, T. Yamazato, M. Katayama, and A. Ogawa","Throughput Improvement of a Dual-Class Multi-code CDMA ALOHA System with Modified Channel Load Sensing Protocol","IEEE International Conference on Communications (ICC), pp.1079-1083, Vancouver, Canada","","1999年6月","10.1109/ICC.1999.765445,"
"市川 直樹, 片山 正昭, 山里 敬也, 小川 明","マルチビーム低軌道衛星通信システムにおけるビームパターンのキャパシティ","電子情報通信学会技研報告, vol.SAT99-39, pp.83-90 (1999.6)","","1999年6月",""
"Y. Ikai, M. Katayama, T. Yamazato and A. Ogawa","A New Acquisition Scheme of a DS/SS Signal with Transmit and Receive Antenna Diversity","IEEE International Conference on Communications (ICC), pp.1256-1261, Vancouver, Canada","","1999年6月","10.1109/ICC.1999.765524,"
"小川 明, 山里 敬也, 岡田 啓, 片山 正昭","[特別講演] CDMA ALOHA 方式のスループット特性","電子情報通信学会衛星通信研究会, vol.SAT99-41, p.99 (1999-06)","","1999年6月",""
"平岩浩之, 片山正昭，山里敬也，小川明","拡散率可変CDMA方式における線形干渉除去の構成と特性","1999年電子情報通信学会総合大会，vol.B-5-111, p.462","","1999年3月",""
"王偉忠, 鄭辰, 山里敬也, 片山正昭, 小川明","OFDM における誤り訂正符号の適用に関する一検討","電子情報通信学会技研報告, vol.IT98-75, pp.49-54 (1999-03)","","1999年3月",""
"本庄勝, 牧戸知史, 山里敬也, 片山正昭, 小川明","動画像フレーム間復号におけるARQ方式の適用","1999年電子情報通信学会総合大会, vol. B-5-243, pp. 594, 慶応大学日吉キャンパス","MPEG, H.263などによって高能率符号化された画像信号は通信路誤りに対して非常に敏感であり，伝送に際しては誤り制御が必要となる．誤り制御を行う方式としては，ARQ方式が広く用いられている．ARQは誤りをゼロにできるが，再送を行うため，パケット遅延が問題となる．ビデオフォンのようなリアルタイムで連続処理を行うことを考えると，あるパケットが送れた場合，画像フレームが正しく復号できなくなってしまう．本稿では，パケット遅延存在下でも，復号画像劣化の少ない動画像フレーム間復号方式を提案する．","1999年3月",""
"Y. R. Senhaji, T. Yamazato, M. Katayama, and A. Ogawa","Performance Improvements applying an Adaptive Array Antenna for Transmission at a Mobile Station","1999 IEICE General Conference, vol.B-5-37, p.388, Keiyou-Univ, Japna","In this work, we are concerned with inhancing transmission performance from a mobile towards a base station. Aware of its ability to concentrate radiation power at desired transmit directions by
reducing power at undesired ones, we propose the use of an adaptive array antenna at a mobile station supported by an eigenstructure based
algorithm for updating transmission beams. After introducing the beamforming algorithm, we show through comparison with the conventional omnidirectional system that our proposed one can insure heigher received power at the base station with similar dynamic range.","1999年3月",""
"天野良晃, 山里敬也, 片山正昭, 小川明","海亀生態観測用測位データの謝り制御について","電子情報通信学会技研報告, vol.SANE99-64, pp.105-108 (1999-02)","","1999年2月",""
"T. Shibata, N. Suzuki, M. Fujimoto, K. Nishikawa, T. Yamazato and A. Ogawa","A Channel Control Method for Multi-Carrier Transmission Considering Channel Response","Asia-Pacific Microwave Conference, vol.3, pp.853-856, Yokohama, Japan","","1998年12月",""
"A. Makido, T. Yamazato, M. Katayama, A. Ogawa","Hierarchical Transmission of Huffman Code Using Multi-Code/Multi-Rate DS/SS Modulation with appropriate Power Control","IEICE Transaction on Communications, vol.E81-B, no.12, pp.2283-2289","","1998年12月",""
"A. Sandouk, T. Yamazato, M. Katayama, and A. Ogawa","An Integrated Voice and Multi-Code CDMA Data System for CDMA Slotted-ALOHA with Modified Channel Load Sensing Protocol","SITA'98 vol.2, pp. 523-526 (1998-12)","","1998年12月",""
"山里敬也, 片山正昭, 小川 明","CDMA によるマルチメディアパケット通信","電子情報通信学会技研報告, vol.SST98-42, pp.9-14  (1998-12)","","1998年12月",""
"牧戸知史, 山里敬也, 片山正昭, 小川 明","フェージング環境下における Huffman 符号の並列伝送に関する一検討","電子情報通信学会技研報告, vol.CS98-117, IE98-96, pp.21-27  (1998-12)","","1998年12月",""
"本庄勝, 松井宗大, 山里敬也, 片山正昭, 小川明","帯域圧縮画像信号の伝送に対する TURBO 符号の適用","２１回情報理論とその応用シンポジウム, 26.7, vol.2, pp.619-622 (1998-12), 岐阜","In wireless video transmission, powerful forward error correction such as TURBO code may be used to avoid the effect of channel errors. But it may not be appropriate for successive video signal processing because of its complexity.
In this paper, we propose a new decoding scheme for compressed video signal with TURBO code. Powerful error correction can be achieved as a result of recursive decoding structure of TURBO code. In proposed scheme, reference frame for interframe is decoded by alternative H.263 decoder and TURBO decoder. Thus, error correction may be achieved more as a result of longer decoding process time by TURBO decoder.","1998年12月",""
"M. Saito, T. Yamazato, M. Katayama, A. Ogawa","New Quasi-Synchronous Sequences for CDMA Slotted ALOHA Systems","IEICE Transaction on Fundamentals, vol.E81-A, no.11, pp.2274-2280","","1998年11月",""
"A. Galib, T. Yamazato, M. Katayama, A. Ogawa","Performance Evaluation of DS/CDMA Communications Systems Modulated with pi/2-Shift BPSK over Multipath Rayleigh Fading Channels","IEICE Transaction on Fundamentals, vol.E81-A, no.11, pp.2304-2310","","1998年11月",""
"T. Yamazato, S. Makido, M. Katayama and A. Ogawa","Hierarchical Transmission System using Multi-Code/Multi-Rate DS/SS Modulation","IEEE Global Telecommunications Conference (GLOBECOM), vol.4, pp.2147-2152, Sydney","","1998年11月","10.1109/GLOCOM.1998.775915,"
"柴田　伝幸，鈴木　徳祥，藤元　美俊，西川　訓利，山里　敬也，小川　明","伝送路の状態を考慮したマルチキャリヤ伝送用回線制御方式","電子情報通信学会論文誌, vol.J81-B-I, no.11, pp.700-708","マルチキャリヤ信号のサブキャリヤから伝送路の状態を比較的容易に推定できることに着目し，これを利用して伝送品質を向
上させるマルチキャリヤ伝送用の回線制御方式を提案する．提案方式では，受信電力が小さく伝送品質が劣化していると予想されるサブキ
ャリヤにはデータを割り当てずにダミーキャリヤとして送信し，受信電力が大きく伝送品質が良好であると予想されるサブキャリヤのみにマルチキャリヤ信号のサブキャリヤから伝送路の状態を比較的容易に推定できることに着目し，これを利用して伝送品質を向
上させるマルチキャリヤ伝送用の回線制御方式を提案する．提案方式では，受信電力が小さく伝送品質が劣化していると予想されるサブキ
ャリヤにはデータを割り当てずにダミーキャリヤとして送信し，受信電力が大きく伝送品質が良好であると予想されるサブキャリヤのみに
データを割り当てて伝送する．移動通信環境を想定した性能評価の結果，すべてのサブキャリヤにデータを割り当てる通常のマルチキャリ
ヤ伝送方式に比べ，受信レベルの低いサブキャリヤをダミーキャリヤとしてデータを割り当てない提案方式のほうが，伝送効率が向上する
ことを示す．更に提案方式における誤り訂正符号の効果を明らかにする．
データを割り当てて伝送する．移動通信環境を想定した性能評価の結果，すべてのサブキャリヤにデータを割り当てる通常のマルチキャリ
ヤ伝送方式に比べ，受信レベルの低いサブキャリヤをダミーキャリヤとしてデータを割り当てない提案方式のほうが，伝送効率が向上する
ことを示す．更に提案方式における誤り訂正符号の効果を明らかにする．","1998年11月",""
"T. Shibata, N. Suzuki, M. Fujimoto, K. Nishikawa, T. Yamazato and A. Ogawa","A Control Scheme of Multi-Carrier Transmission Considering Channel Response for Mobile Communication","Asia-Pacific Conference on Communications (APCC), vol.2, pp.543-546, Singapore","","1998年11月",","
"K.Ono, M.Katayama, T.Yamazato and A.Ogawa","Performance of a LEOS Communication System with Overlaid and Overlapped Cell Arrangement","Third European Workshop on Mobile/Personal Satcoms, vol.1, pp.131-145, Venis, Italy","","1998年11月",""
"T. Yamazato, A. Ogawa, M. Katayama and A. Jamalipour","Tutorial : Introduction to CDMA ALOHA","Tutorial Note, TI-13, IEEE Global Telecommunications Conference","","1998年11月",","
"A. Galib, T. Yamazato, M. Katayama and A. Ogawa","Performance Evaluation of DS/CDMA Communications Systems Modulated with pi/2-Shift BPSK over Multipath Rayleigh Fading Channels","IEEE Global Telecommunications Conference, Sydney, Communications Theory Mini","","1998年11月",","
"M. Ishizu, M. Katayama, T. Yamazato, A. Ogawa","Initial Acquisition of Code Timings and Carrier Frequencies of CDMA Downlink Signals in Multiple-LEO-Satellite Communication Systems","IEICE Transaction on Fundamentals, vol.E81-A, no.11, pp.2281-2290 ","","1998年11月",""
"A. Fujiwara, T. Wada, T. Yamazato, M. Katayama and A. Ogawa","Evaluation of the Interference with Small Number of Users in Orthogonal Multi-Code CDMA Systems","International Symposium on Wireless Personal Multimedia Communications, vol.1, pp.422-427, Yokosuka, Japan","","1998年11月",""
"小野憲一, 片山正昭, 山里敬也, 小川明","低軌道衛星通信システムにおけるセルのオーバラップとオーバレイの サービス品質への影響","電子情報通信学会技研報告, vol.SAT98-42, pp.1-8 (1998.10)","","1998年10月",""
"坂 耕一郎 , 片山 正昭 , 山里 敬也 ,小川 明","相関のあるライスフェージング通信路における誤り訂正符号を用いた 送受信アンテナダイバシチ方式の特性解析","1998年電子情報通信学会ソサイエティ大会, vol.A-5-8, p.98","","1998年10月",""
"小野 憲一, 山里 敬也, 片山 正昭, 小川 明","低軌道衛星通信システムにおけるセルのオーバーラップとハンドオフ特性","1998年電子情報通信学会総合大会，vol.SB-3-13, pp.556-557","","1998年10月",""
"T. Wada, T. Yamazato, M. Katayama, A. Ogawa","Error Correcting Capability of Constant Amplitude Coding for Orthogonal Multi-Code CDMA Systems","IEICE Transaction on Fundamentals, vol.E81-A, no.10, pp.2166-2169","","1998年10月",""
"Masato Saito, Takaya Yamazato, Masaaki Katayama, Akira Ogawa","Quasi-Synchronous CDMA Slotted ALOHA System Through Flat Fading Channel","International Symposium on Information Theory and its Applications (ISITA), FA4-3, vol.2, pp.487-490","","1998年10月",","
"A. Sandouk, T. Yamazato, M. Katayama, and A. Ogawa","A Study on the Throughput of Multi-Code CDMA ALOHA System with Modified Channel Load Sensing Protocol","Technical Report of IEICE, vol.SST98-40, pp.61-68 (1998-10)","","1998年10月",""
"Y. Asai, T. Yamazato, M. Katayama and A. Ogawa","An Access Control Scheme Based on Transmit Power for CDMA ALOHA System under a Cellular Environment","International Symposium on Information Theory and Its Applications (ISITA), vol.2, pp.491-494, Mexico City,Mexico","","1998年10月",","
"齋藤将人, 山里敬也, 片山正昭, 小川明","2-pathレイリーフェージング環境下におけるQS-CDMA Slotted ALOHA 方式のスループット特性","1998年電子情報通信学会ソサイエティ大会, vol.A-5-9, p.99","","1998年10月",""
